birthday,chamber,title,first_name,middle_name,last_name,name_suffix,nickname,party,state,state_name,term_start,term_end,in_office,phone,twitter_id
20/10/1948,house,Rep,Robert,A.,Borski,,,D,PA,Pennsylvania,03/01/2001,03/01/2003,FALSE,,
06/06/1945,house,Rep,David,E.,Bonior,,,D,MI,Michigan,03/01/2001,03/01/2003,FALSE,,
10/12/1956,house,Rep,Rod,,Blagojevich,,,D,IL,Illinois,03/01/2001,03/01/2003,FALSE,,
03/06/1959,house,Rep,Ken,,Bentsen,,,D,TX,Texas,03/01/2001,03/01/2003,FALSE,,
08/12/1953,house,Rep,Thomas,M.,Barrett,,,D,WI,Wisconsin,03/01/2001,03/01/2003,FALSE,,
05/11/1948,house,Rep,Bob,,Barr,,,R,GA,Georgia,03/01/2001,03/01/2003,FALSE,,
25/02/1952,house,Rep,James,A.,Barcia,,,D,MI,Michigan,03/01/2001,03/01/2003,FALSE,,
30/01/1955,house,Rep,John,,Baldacci,,,D,ME,Maine,03/01/2001,03/01/2003,FALSE,,
07/07/1940,house,Rep,Richard,K.,Armey,,,R,TX,Texas,03/01/2001,03/01/2003,FALSE,,
08/03/1952,senate,Sen,George,Felix,Allen,,,R,VA,Virginia,03/01/2001,03/01/2007,FALSE,,
24/02/1932,senate,Sen,Zell,Bryan,Miller,,,D,GA,Georgia,24/07/2000,03/01/2005,FALSE,,
06/01/1948,house,Rep,Robert,E.,Wise,Jr.,,D,WV,West Virginia,06/01/1999,03/01/2001,FALSE,,
10/05/1948,house,Rep,Robert,A.,Weygand,,,D,RI,Rhode Island,06/01/1999,03/01/2001,FALSE,,
07/10/1940,house,Rep,Bruce,F.,Vento,,,D,MN,Minnesota,06/01/1999,03/01/2001,FALSE,,
21/08/1957,house,Rep,James,E.,Rogan,,,R,CA,California,06/01/1999,03/01/2001,FALSE,,
01/06/1935,house,Rep,John,Edward,Porter,,,R,IL,Illinois,06/01/1999,03/01/2001,FALSE,,
31/08/1930,house,Rep,Owen,B.,Pickett,,,D,VA,Virginia,06/01/1999,03/01/2001,FALSE,,
22/05/1951,house,Rep,Edward,A.,Pease,,,R,IN,Indiana,06/01/1999,03/01/2001,FALSE,,
19/01/1931,house,Rep,Ron,,Packard,,,R,CA,California,06/01/1999,03/01/2001,FALSE,,
06/12/1948,senate,Sen,Don,,Nickles,,,R,OK,Oklahoma,06/01/1999,03/01/2005,FALSE,,
28/03/1933,senate,Sen,Frank,H.,Murkowski,,,R,AK,Alaska,06/01/1999,19/12/2002,FALSE,,
19/03/1942,house,Rep,David,,Minge,,,D,MN,Minnesota,06/01/1999,03/01/2001,FALSE,,
30/11/1927,house,Rep,Jack,,Metcalf,,,R,WA,Washington,06/01/1999,03/01/2001,FALSE,,
08/06/1958,house,Rep,David,M.,McIntosh,,,R,IN,Indiana,06/01/1999,03/01/2001,FALSE,,
12/07/1944,house,Rep,Bill,,McCollum,,,R,FL,Florida,06/01/1999,03/01/2001,FALSE,,
14/02/1929,house,Rep,Matthew,G.,Martínez,,,R,CA,California,06/01/1999,03/01/2001,FALSE,,
30/04/1943,house,Rep,Robert,Linligthgow,Livingston,Jr.,,R,LA,Louisiana,06/01/1999,01/03/1999,FALSE,,
13/03/1958,house,Rep,Rick,A.,Lazio,,,R,NY,New York,06/01/1999,03/01/2001,FALSE,,
27/01/1947,house,Rep,Steven,T.,Kuykendall,,,R,CA,California,06/01/1999,03/01/2001,FALSE,,
23/09/1951,house,Rep,Ron,,Klink,,,D,PA,Pennsylvania,06/01/1999,03/01/2001,FALSE,,
13/05/1952,house,Rep,John,R.,Kasich,,,R,OH,Ohio,06/01/1999,03/01/2001,FALSE,,
01/01/1922,senate,Sen,Ernest,F.,Hollings,,Fritz,D,SC,South Carolina,06/01/1999,03/01/2005,FALSE,,
30/12/1946,house,Rep,Rick,,Hill,,,R,MT,Montana,06/01/1999,03/01/2001,FALSE,,
09/11/1936,senate,Sen,Bob,,Graham,,,D,FL,Florida,06/01/1999,03/01/2005,FALSE,,
05/12/1927,house,Rep,William,F.,Goodling,,,R,PA,Pennsylvania,06/01/1999,03/01/2001,FALSE,,
20/05/1948,house,Rep,Sam,,Gejdenson,,,D,CT,Connecticut,06/01/1999,03/01/2001,FALSE,,
21/09/1951,house,Rep,Bob,,Franks,,,R,NJ,New Jersey,06/01/1999,03/01/2001,FALSE,,
23/12/1942,house,Rep,Tillie,K.,Fowler,,,R,FL,Florida,06/01/1999,03/01/2001,FALSE,,
16/07/1952,house,Rep,Michael,P.,Forbes,,,D,NY,New York,06/01/1999,03/01/2001,FALSE,,
20/10/1960,senate,Sen,Peter,G.,Fitzgerald,,,R,IL,Illinois,06/01/1999,03/01/2005,FALSE,,
19/09/1935,house,Rep,Thomas,W.,Ewing,,,R,IL,Illinois,06/01/1999,03/01/2001,FALSE,,
10/06/1953,senate,Sen,John,Reid,Edwards,,,D,NC,North Carolina,06/01/1999,03/01/2005,FALSE,,
08/08/1934,house,Rep,Julian,C.,Dixon,,,D,CA,California,06/01/1999,03/01/2001,FALSE,,
14/12/1939,house,Rep,Jay,,Dickey,,,R,AR,Arkansas,06/01/1999,03/01/2001,FALSE,,
09/12/1947,senate,Sen,Thomas,A.,Daschle,,Tom,D,SD,South Dakota,06/01/1999,03/01/2005,FALSE,,
13/01/1934,house,Rep,Pat,,Danner,,,D,MO,Missouri,06/01/1999,03/01/2001,FALSE,,
20/01/1939,senate,Sen,Paul,D.,Coverdell,,,R,GA,Georgia,06/01/1999,03/01/2001,FALSE,,
06/05/1946,house,Rep,Merrill,,Cook,,,R,UT,Utah,06/01/1999,03/01/2001,FALSE,,
30/04/1931,house,Rep,William,Lacy,Clay,Sr.,Bill,D,MO,Missouri,06/01/1999,03/01/2001,FALSE,,
27/01/1938,house,Rep,Helen,,Chenoweth-Hage,,,R,ID,Idaho,06/01/1999,03/01/2001,FALSE,,
22/06/1954,house,Rep,Charles,T.,Canady,,,R,FL,Florida,06/01/1999,03/01/2001,FALSE,,
14/08/1952,house,Rep,Tom,,Campbell,,,R,CA,California,06/01/1999,03/01/2001,FALSE,,
13/04/1933,senate,Sen,Ben,Nighthorse,Campbell,,,R,CO,Colorado,06/01/1999,03/01/2005,FALSE,,
06/03/1920,house,Rep,George,E.,Brown,Jr.,,D,CA,California,06/01/1999,15/07/1999,FALSE,,
01/03/1944,senate,Sen,John,B.,Breaux,,,D,LA,Louisiana,06/01/1999,03/01/2005,FALSE,,
28/01/1932,house,Rep,Tom,,Bliley,,,R,VA,Virginia,06/01/1999,03/01/2001,FALSE,,
07/08/1928,house,Rep,Herbert,H.,Bateman,,,R,VA,Virginia,06/01/1999,11/09/2000,FALSE,,
09/02/1929,house,Rep,Bill,,Barrett,,,R,NE,Nebraska,06/01/1999,03/01/2001,FALSE,,
22/03/1928,house,Rep,Bill,,Archer,,,R,TX,Texas,06/01/1999,03/01/2001,FALSE,,
27/08/1909,house,Rep,Sidney,Richard,Yates,,,D,IL,Illinois,07/01/1997,03/01/1999,FALSE,,
06/11/1953,house,Rep,Richard,Alan,White,,Rick,R,WA,Washington,07/01/1997,03/01/1999,FALSE,,
21/07/1944,senate,Sen,Paul,David,Wellstone,,,D,MN,Minnesota,07/01/1997,25/10/2002,FALSE,,
27/08/1951,senate,Sen,Robert,,Torricelli,,,D,NJ,New Jersey,07/01/1997,03/01/2003,FALSE,,
27/01/1930,house,Rep,Esteban,Edward,Torres,,,D,CA,California,07/01/1997,03/01/1999,FALSE,,
05/12/1902,senate,Sen,J.,Strom,Thurmond,,,R,SC,South Carolina,07/01/1997,03/01/2003,FALSE,,
19/08/1942,senate,Sen,Fred,,Thompson,,,R,TN,Tennessee,07/01/1997,03/01/2003,FALSE,,
02/10/1945,house,Rep,Frank,Mariano,Tejeda,,,D,TX,Texas,07/01/1997,30/01/1997,FALSE,,
23/02/1925,house,Rep,Louis,,Stokes,,,D,OH,Ohio,07/01/1997,03/01/1999,FALSE,,
14/08/1930,house,Rep,Gerald,Brooks Hunt,Solomon,,,R,NY,New York,07/01/1997,03/01/1999,FALSE,,
16/09/1949,house,Rep,Vincent,K.,Snowbarger,,,R,KS,Kansas,07/01/1997,03/01/1999,FALSE,,
16/06/1931,house,Rep,Robert,Freeman,Smith,,,R,OR,Oregon,07/01/1997,03/01/1999,FALSE,,
16/07/1950,house,Rep,Linda,,Smith,,,R,WA,Washington,07/01/1997,03/01/1999,FALSE,,
30/03/1941,senate,Sen,Robert,,Smith,,Bob,R,NH,New Hampshire,07/01/1997,03/01/2003,FALSE,,
22/02/1943,house,Rep,David,Evans,Skaggs,,,D,CO,Colorado,07/01/1997,03/01/1999,FALSE,,
18/03/1947,house,Rep,Steven,Harvey,Schiff,,,R,NM,New Mexico,07/01/1997,25/03/1998,FALSE,,
25/01/1936,house,Rep,Daniel,,Schaefer,,Dan,R,CO,Colorado,07/01/1997,03/01/1999,FALSE,,
04/09/1932,house,Com,Carlos,,Romero-Barceló,,,D,PR,Puerto Rico,07/01/1997,03/01/2001,FALSE,,
05/09/1950,house,Rep,Frank,D.,Riggs,,,R,CA,California,07/01/1997,03/01/1999,FALSE,,
15/11/1947,house,Rep,William,Blaine,Richardson,,,D,NM,New Mexico,07/01/1997,13/02/1997,FALSE,,
28/01/1955,house,Rep,William,Thomas,Redmond,,,R,NM,New Mexico,13/05/1997,03/01/1999,FALSE,,
30/10/1945,house,Rep,Glenn,,Poshard,,,D,IL,Illinois,07/01/1997,03/01/1999,FALSE,,
29/04/1954,house,Rep,L.,William,Paxon,,,R,NY,New York,07/01/1997,03/01/1999,FALSE,,
31/10/1949,house,Rep,Michael,,Parker,,Mike,R,MS,Mississippi,07/01/1997,03/01/1999,FALSE,,
29/12/1960,house,Rep,Michael,James,Pappas,,,R,NJ,New Jersey,07/01/1997,03/01/1999,FALSE,,
27/02/1954,house,Rep,Mark,W.,Neumann,,,R,WI,Wisconsin,07/01/1997,03/01/1999,FALSE,,
27/03/1958,house,Rep,Susan,,Molinari,,,R,NY,New York,07/01/1997,02/08/1997,FALSE,,
26/07/1950,house,Rep,Paul,F.,McHale,Jr.,,D,PA,Pennsylvania,07/01/1997,03/01/1999,FALSE,,
29/09/1931,house,Rep,Joseph,Michael,McDade,,,R,PA,Pennsylvania,07/01/1997,03/01/1999,FALSE,,
03/11/1932,house,Rep,Thomas,J.,Manton,,,D,NY,New York,07/01/1997,03/01/1999,FALSE,,
16/01/1953,house,Rep,Scott,L.,Klug,,,R,WI,Wisconsin,07/01/1997,03/01/1999,FALSE,,
27/03/1939,house,Rep,Jay,,Kim,,,R,CA,California,07/01/1997,03/01/1999,FALSE,,
10/07/1936,house,Rep,Barbara,Bailey,Kennelly,,,D,CT,Connecticut,07/01/1997,03/01/1999,FALSE,,
24/09/1952,house,Rep,Joseph,Patrick,Kennedy,II,,D,MA,Massachusetts,07/01/1997,03/01/1999,FALSE,,
30/09/1943,house,Rep,Jay,W.,Johnson,,,D,WI,Wisconsin,07/01/1997,03/01/1999,FALSE,,
11/08/1949,senate,Sen,Tim,,Hutchinson,,,R,AR,Arkansas,07/01/1997,03/01/2003,FALSE,,
18/10/1921,senate,Sen,Jesse,,Helms,,,R,NC,North Carolina,07/01/1997,03/01/2003,FALSE,,
11/04/1930,house,Rep,Willie,Gathrel,Hefner,,Bill,D,NC,North Carolina,07/01/1997,03/01/1999,FALSE,,
20/04/1931,house,Rep,Lee,Herbert,Hamilton,,,D,IN,Indiana,07/01/1997,03/01/1999,FALSE,,
08/07/1942,senate,Sen,Phil,,Gramm,,,R,TX,Texas,07/01/1997,29/11/2002,FALSE,,
03/05/1916,house,Rep,Henry,Barbosa,González,,,D,TX,Texas,07/01/1997,03/01/1999,FALSE,,
17/06/1943,house,Rep,Newton,Leroy,Gingrich,,,R,GA,Georgia,07/01/1997,03/01/1999,FALSE,,
13/10/1936,house,Rep,Elizabeth,,Furse,,,D,OR,Oregon,07/01/1997,03/01/1999,FALSE,,
22/04/1947,house,Rep,Jon,D.,Fox,,,R,PA,Pennsylvania,07/01/1997,03/01/1999,FALSE,,
03/12/1928,house,Rep,Thomas,Michael,Foglietta,,,D,PA,Pennsylvania,07/01/1997,11/11/1997,FALSE,,
30/01/1945,house,Rep,Floyd,Harold,Flake,,,D,NY,New York,07/01/1997,17/11/1997,FALSE,,
11/10/1942,house,Rep,Victor,Herbert,Fazio,Jr.,,D,CA,California,07/01/1997,03/01/1999,FALSE,,
25/03/1929,house,Rep,Harris,W.,Fawell,,,R,IL,Illinois,07/01/1997,03/01/1999,FALSE,,
24/11/1935,house,Rep,Ronald,Vernie,Dellums,,,D,CA,California,07/01/1997,07/02/1998,FALSE,,
24/08/1942,senate,Sen,J.,Maxwell,Cleland,,,D,GA,Georgia,07/01/1997,03/01/2003,FALSE,,
20/02/1963,house,Rep,Jon,Lynn,Christensen,,,R,NE,Nebraska,07/01/1997,03/01/1999,FALSE,,
05/05/1934,house,Rep,Walter,Holden,Capps,,,D,CA,California,07/01/1997,28/10/1997,FALSE,,
16/02/1935,house,Rep,Sonny,,Bono,,,R,CA,California,07/01/1997,05/01/1998,FALSE,,
09/07/1941,house,Rep,Henry,Scott,Baesler,,Scotty,D,KY,Kentucky,07/01/1997,03/01/1999,FALSE,,
22/03/1945,senate,Sen,Sheila,,Frahm,,,R,KS,Kansas,11/06/1996,05/11/1996,FALSE,,
22/09/1927,house,Rep,Eligio,II,de la Garza,,Kika,D,TX,Texas,04/01/1995,03/01/1997,FALSE,,
16/08/1944,house,Rep,Richard,,Zimmer,,,R,NJ,New Jersey,04/01/1995,03/01/1997,FALSE,,
12/06/1936,house,Rep,William,H.,Zeliff,Jr.,,R,NH,New Hampshire,04/01/1995,03/01/1997,FALSE,,
01/06/1933,house,Rep,Charles,,Wilson,,,D,TX,Texas,04/01/1995,03/01/1997,FALSE,,
30/10/1937,house,Rep,John,Patrick,Williams,,,D,MT,Montana,04/01/1995,03/01/1997,FALSE,,
07/01/1951,house,Rep,Michael,Delavan,Ward,,,D,KY,Kentucky,04/01/1995,03/01/1997,FALSE,,
23/12/1942,house,Rep,Robert,Smith,Walker,,,R,PA,Pennsylvania,04/01/1995,03/01/1997,FALSE,,
05/06/1958,house,Rep,Enid,,Greene Waldholtz,,,R,UT,Utah,04/01/1995,03/01/1997,FALSE,,
22/06/1921,house,Rep,Barbara,Farrell,Vucanovich,,,R,NV,Nevada,04/01/1995,03/01/1997,FALSE,,
04/04/1931,house,Rep,Harold,Lee,Volkmer,,,D,MO,Missouri,04/01/1995,03/01/1997,FALSE,,
28/05/1957,house,Rep,Walter,R.,Tucker,III,,D,CA,California,04/01/1995,15/12/1995,FALSE,,
28/01/1958,house,Rep,Peter,Gerard,Torkildsen,,,R,MA,Massachusetts,04/01/1995,03/01/1997,FALSE,,
16/07/1928,house,Rep,Raymond,Hoyt,Thornton,Jr.,Ray,D,AR,Arkansas,04/01/1995,03/01/1997,FALSE,,
23/11/1965,house,Rep,Randy,J.,Tate,,,R,WA,Washington,04/01/1995,03/01/1997,FALSE,,
12/05/1937,house,Rep,Gerry,Eastman,Studds,,,D,MA,Massachusetts,04/01/1995,03/01/1997,FALSE,,
05/08/1941,house,Rep,Andrea,,Seastrand,,,R,CA,California,04/01/1995,03/01/1997,FALSE,,
30/07/1940,house,Rep,Patricia,Scott,Schroeder,,,D,CO,Colorado,04/01/1995,03/01/1997,FALSE,,
22/07/1921,senate,Sen,William,V.,Roth,Jr.,,R,DE,Delaware,04/01/1995,03/01/2001,FALSE,,
10/10/1938,house,Rep,Toby,A.,Roth,,,R,WI,Wisconsin,04/01/1995,03/01/1997,FALSE,,
10/08/1939,house,Rep,Charles,Grandison,Rose,III,,D,NC,North Carolina,04/01/1995,03/01/1997,FALSE,,
26/06/1939,senate,Sen,Charles,S.,Robb,,,D,VA,Virginia,04/01/1995,03/01/2001,FALSE,,
08/01/1952,house,Rep,Mel,,Reynolds,,,D,IL,Illinois,04/01/1995,01/10/1995,FALSE,,
11/01/1916,house,Rep,James,Henry,Quillen,,,R,TN,Tennessee,04/01/1995,03/01/1997,FALSE,,
26/06/1935,house,Rep,Douglas,Brian,Peterson,,Pete,D,FL,Florida,04/01/1995,03/01/1997,FALSE,,
09/07/1945,house,Rep,Lewis,Franklin,Payne,Jr.,,D,VA,Virginia,04/01/1995,03/01/1997,FALSE,,
22/09/1948,house,Rep,William,,Orton,,,D,UT,Utah,04/01/1995,03/01/1997,FALSE,,
08/02/1927,house,Rep,John,Thomas,Myers,,,R,IN,Indiana,04/01/1995,03/01/1997,FALSE,,
16/03/1927,senate,Sen,Daniel,Patrick,Moynihan,,,D,NY,New York,04/01/1995,03/01/2001,FALSE,,
06/05/1922,house,Rep,Carlos,John,Moorhead,,,R,CA,California,04/01/1995,03/01/1997,FALSE,,
05/08/1920,house,Rep,Gillespie,V.,Montgomery,,Sonny,D,MS,Mississippi,04/01/1995,03/01/1997,FALSE,,
12/11/1931,house,Rep,Norman,Yoshio,Mineta,,,D,CA,California,04/01/1995,10/10/1995,FALSE,,
24/10/1948,house,Rep,Kweisi,,Mfume,,,D,MD,Maryland,04/01/1995,18/02/1996,FALSE,,
20/07/1928,house,Rep,Jan,,Meyers,,,R,KS,Kansas,04/01/1995,03/01/1997,FALSE,,
10/02/1947,house,Rep,William,J.,Martini,,,R,NJ,New Jersey,04/01/1995,03/01/1997,FALSE,,
29/10/1940,senate,Sen,Connie,,Mack,III,,R,FL,Florida,04/01/1995,03/01/2001,FALSE,,
07/07/1951,house,Rep,James,,Longley,,,R,ME,Maine,04/01/1995,03/01/1997,FALSE,,
27/09/1938,house,Rep,James,Ross,Lightfoot,,,R,IA,Iowa,04/01/1995,03/01/1997,FALSE,,
21/01/1942,house,Rep,Gregory,H.,Laughlin,,,R,TX,Texas,04/01/1995,03/01/1997,FALSE,,
27/08/1943,senate,Sen,J.,Robert,Kerrey,,,D,NE,Nebraska,04/01/1995,03/01/2001,FALSE,,
02/12/1931,house,Rep,Harry,A.,Johnston,II,,D,FL,Florida,04/01/1995,03/01/1997,FALSE,,
24/02/1932,house,Rep,Andrew,,Jacobs,Jr.,,D,IN,Indiana,04/01/1995,03/01/1997,FALSE,,
18/05/1952,house,Rep,Martin,R.,Hoke,,,R,OH,Ohio,04/01/1995,03/01/1997,FALSE,,
28/12/1929,house,Rep,Fred,,Heineman,,,R,NC,North Carolina,04/01/1995,03/01/1997,FALSE,,
21/12/1946,house,Rep,James,Allison,Hayes,,,R,LA,Louisiana,04/01/1995,03/01/1997,FALSE,,
14/09/1929,house,Rep,Melton,D.,Hancock,,Mel,R,MO,Missouri,04/01/1995,03/01/1997,FALSE,,
10/05/1951,house,Rep,Steven,Craig,Gunderson,,,R,WI,Wisconsin,04/01/1995,03/01/1997,FALSE,,
04/02/1948,senate,Sen,Rod,,Grams,,,R,MN,Minnesota,04/01/1995,03/01/2001,FALSE,,
08/01/1928,senate,Sen,T.,Slade,Gorton,,,R,WA,Washington,04/01/1995,03/01/2001,FALSE,,
20/01/1920,house,Rep,Sam,Melville,Gibbons,,,D,FL,Florida,04/01/1995,03/01/1997,FALSE,,
29/01/1952,house,Rep,Preston,M.,Geren,,Pete,D,TX,Texas,04/01/1995,03/01/1997,FALSE,,
28/04/1944,house,Rep,David,,Funderburk,,,R,NC,North Carolina,04/01/1995,03/01/1997,FALSE,,
27/04/1955,house,Rep,Dan,,Frisa,,,R,NY,New York,04/01/1995,03/01/1997,FALSE,,
24/05/1943,house,Del,Victor,O.,Frazer,,,I,VI,US Virgin Islands,04/01/1995,03/01/1997,FALSE,,
09/02/1953,house,Rep,Gary,A.,Franks,,,R,CT,Connecticut,04/01/1995,03/01/1997,FALSE,,
20/05/1945,house,Rep,Harold,Eugene,Ford,,,D,TN,Tennessee,04/01/1995,03/01/1997,FALSE,,
09/11/1962,house,Rep,Michael,P.,Flanagan,,,R,IL,Illinois,04/01/1995,03/01/1997,FALSE,,
03/02/1952,house,Rep,Jack,Milton,Fields,Jr.,,R,TX,Texas,04/01/1995,03/01/1997,FALSE,,
22/11/1962,house,Rep,Cleo,,Fields,,,D,LA,Louisiana,04/01/1995,03/01/1997,FALSE,,
01/01/1938,house,Rep,Norvell,William,Emerson,,Bill,R,MO,Missouri,04/01/1995,22/06/1996,FALSE,,
03/04/1933,house,Rep,Robert,Kenneth,Dornan,,,R,CA,California,04/01/1995,03/01/1997,FALSE,,
05/04/1943,house,Rep,Frank,,Cremeans,,,R,OH,Ohio,04/01/1995,03/01/1997,FALSE,,
28/03/1932,house,Rep,Wes,,Cooley,,,R,OR,Oregon,04/01/1995,03/01/1997,FALSE,,
24/09/1931,house,Rep,Cardiss,,Collins,,,D,IL,Illinois,04/01/1995,03/01/1997,FALSE,,
13/04/1939,house,Rep,Barbara-Rose,,Collins,,,D,MI,Michigan,04/01/1995,03/01/1997,FALSE,,
29/11/1941,house,Rep,Ronald,D'Emory,Coleman,,,D,TX,Texas,04/01/1995,03/01/1997,FALSE,,
04/04/1929,house,Rep,William,Floyd,Clinger,Jr.,,R,PA,Pennsylvania,04/01/1995,03/01/1997,FALSE,,
29/04/1942,house,Rep,Dick,,Chrysler,,,R,MI,Michigan,04/01/1995,03/01/1997,FALSE,,
08/03/1945,house,Rep,Jim,,Chapman,,,D,TX,Texas,04/01/1995,03/01/1997,FALSE,,
22/10/1922,senate,Sen,John,Hubbard,Chafee,,,R,RI,Rhode Island,04/01/1995,24/10/1999,FALSE,,
12/12/1956,house,Rep,Jim,,Bunn,,,R,OR,Oregon,04/01/1995,03/01/1997,FALSE,,
22/02/1947,house,Rep,John,Wiley,Bryant,,,D,TX,Texas,04/01/1995,03/01/1997,FALSE,,
16/07/1937,senate,Sen,Richard,H.,Bryan,,,D,NV,Nevada,04/01/1995,03/01/2001,FALSE,,
15/01/1943,house,Rep,John,Glen,Browder,,,D,AL,Alabama,04/01/1995,03/01/1997,FALSE,,
08/11/1941,house,Rep,William,K.,Brewster,,,D,OK,Oklahoma,04/01/1995,03/01/1997,FALSE,,
28/01/1956,house,Rep,Peter,I.,Blute,,,R,MA,Massachusetts,04/01/1995,03/01/1997,FALSE,,
27/03/1921,house,Rep,Tom,,Bevill,,,D,AL,Alabama,04/01/1995,03/01/1997,FALSE,,
26/10/1932,house,Rep,Anthony,Charles,Beilenson,,,D,CA,California,04/01/1995,03/01/1997,FALSE,,
14/06/1940,house,Rep,William,P.,Baker,,,R,CA,California,04/01/1995,03/01/1997,FALSE,,
09/05/1942,senate,Sen,John,,Ashcroft,,,R,MO,Missouri,04/01/1995,03/01/2001,FALSE,,
12/06/1952,senate,Sen,Spencer,,Abraham,,,R,MI,Michigan,04/01/1995,03/01/2001,FALSE,,
02/08/1930,house,Del,Ron,,de Lugo,,,D,VI,US Virgin Islands,05/01/1993,03/01/1995,FALSE,,
18/04/1910,house,Rep,Jamie,Lloyd,Whitten,,,D,MS,Mississippi,05/01/1993,03/01/1995,FALSE,,
16/10/1951,house,Rep,Alan,Dupree,Wheat,,,D,MO,Missouri,05/01/1993,03/01/1995,FALSE,,
12/10/1941,house,Rep,Craig,Anthony,Washington,,,D,TX,Texas,05/01/1993,03/01/1995,FALSE,,
15/03/1926,house,Rep,Itimous,"Thaddeus, Jr.,",Valentine,,Tim,D,NC,North Carolina,05/01/1993,03/01/1995,FALSE,,
03/12/1931,house,Rep,Jolene,,Unsoeld,,,D,WA,Washington,05/01/1993,03/01/1995,FALSE,,
17/10/1950,house,Rep,Michael,Lynn,Synar,,,D,OK,Oklahoma,05/01/1993,03/01/1995,FALSE,,
12/09/1935,house,Rep,Allan,Byron,Swift,,,D,WA,Washington,05/01/1993,03/01/1995,FALSE,,
01/05/1957,house,Rep,Richard,,Swett,,,D,NH,New Hampshire,05/01/1993,03/01/1995,FALSE,,
15/03/1936,house,Rep,Donald,Kenneth,Sundquist,,,R,TN,Tennessee,05/01/1993,03/01/1995,FALSE,,
23/03/1920,house,Rep,Neal,Edward,Smith,,,D,IA,Iowa,05/01/1993,03/01/1995,FALSE,,
04/08/1948,house,Rep,James,Charles,Slattery,,,D,KS,Kansas,05/01/1993,03/01/1995,FALSE,,
05/07/1940,house,Rep,Karen,,Shepherd,,,D,UT,Utah,05/01/1993,03/01/1995,FALSE,,
15/07/1942,house,Rep,Philip,Riley,Sharp,,,D,IN,Indiana,05/01/1993,03/01/1995,FALSE,,
05/01/1945,house,Rep,Lynn,,Schenk,,,D,CA,California,05/01/1993,03/01/1995,FALSE,,
10/01/1948,house,Rep,William,,Sarpalius,,,D,TX,Texas,05/01/1993,03/01/1995,FALSE,,
16/02/1931,house,Rep,George,Edward,Sangmeister,,,D,IL,Illinois,05/01/1993,03/01/1995,FALSE,,
03/02/1926,house,Rep,James,Roy,Rowland,Jr.,,D,GA,Georgia,05/01/1993,03/01/1995,FALSE,,
02/01/1928,house,Rep,Daniel,David,Rostenkowski,,,D,IL,Illinois,05/01/1993,03/01/1995,FALSE,,
26/08/1945,house,Rep,Thomas,Joseph,Ridge,,,R,PA,Pennsylvania,05/01/1993,03/01/1995,FALSE,,
29/03/1927,house,Rep,Arthur,,Ravenel,Jr.,,R,SC,South Carolina,05/01/1993,03/01/1995,FALSE,,
11/10/1913,house,Rep,James,Jarrell,Pickle,,Jake,D,TX,Texas,05/01/1993,03/01/1995,FALSE,,
19/11/1951,house,Rep,Timothy,Joseph,Penny,,,D,MN,Minnesota,05/01/1993,03/01/1995,FALSE,,
28/06/1938,house,Rep,Leon,Edward,Panetta,,,D,CA,California,05/01/1993,21/01/1993,FALSE,,
11/09/1932,senate,Sen,Robert,William,Packwood,,,R,OR,Oregon,05/01/1993,31/12/1995,FALSE,,
07/11/1934,house,Rep,Stephen,Lybrook,Neal,,,D,NC,North Carolina,05/01/1993,03/01/1995,FALSE,,
11/09/1909,house,Rep,William,Huston,Natcher,,,D,KY,Kentucky,05/01/1993,29/03/1994,FALSE,,
17/06/1927,house,Rep,Austin,John,Murphy,,,D,PA,Pennsylvania,05/01/1993,03/01/1995,FALSE,,
16/08/1947,senate,Sen,Carol,,Moseley Braun,,,D,IL,Illinois,05/01/1993,03/01/1999,FALSE,,
02/03/1923,house,Rep,Robert,Henry,Michel,,,R,IL,Illinois,05/01/1993,03/01/1995,FALSE,,
09/05/1932,house,Rep,John,"Alexander, III",McMillan,,Alex,R,NC,North Carolina,05/01/1993,03/01/1995,FALSE,,
30/03/1950,house,Rep,David,Keith,McCurdy,,,D,OK,Oklahoma,05/01/1993,03/01/1995,FALSE,,
12/06/1939,house,Rep,Francis,Xavier,McCloskey,,,D,IN,Indiana,05/01/1993,03/01/1995,FALSE,,
23/07/1927,house,Rep,Alfred,A.,McCandless,,,R,CA,California,05/01/1993,03/01/1995,FALSE,,
02/11/1932,house,Rep,Romano,Louis,Mazzoli,,,D,KY,Kentucky,05/01/1993,03/01/1995,FALSE,,
17/01/1927,senate,Sen,Harlan,,Mathews,,,D,TN,Tennessee,05/01/1993,03/01/1995,FALSE,,
21/06/1942,house,Rep,Marjorie,,Margolies-Mezvinsky,,,D,PA,Pennsylvania,05/01/1993,03/01/1995,FALSE,,
25/09/1939,house,Rep,David,Scott,Mann,,,D,OH,Ohio,05/01/1993,03/01/1995,FALSE,,
13/07/1948,house,Rep,Ronald,K.,Machtley,,,R,RI,Rhode Island,05/01/1993,03/01/1995,FALSE,,
15/07/1952,house,Rep,Jill,Lynette,Long Thompson,,,D,IN,Indiana,05/01/1993,03/01/1995,FALSE,,
03/01/1929,house,Rep,Marilyn,Laird,Lloyd,,,D,TN,Tennessee,05/01/1993,03/01/1995,FALSE,,
26/10/1924,house,Rep,Thomas,F.,Lewis,,,R,FL,Florida,05/01/1993,03/01/1995,FALSE,,
18/12/1953,house,Rep,David,A.,Levy,,,R,NY,New York,05/01/1993,03/01/1995,FALSE,,
